latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-6.8662,107.5042,312.2,1.8,1.3,2010-01-02,0336,Terra,MODIS,46,6.2,290.6,11.2,D,0
-6.3639,107.2703,319.5,1,1,2010-01-02,0631,Aqua,MODIS,38,6.2,297,8.2,D,0
-6.4456,107.4507,316,1.1,1,2010-01-04,0323,Terra,MODIS,60,6.2,296.7,8,D,0
-7.0489,107.747,317.1,1.1,1.1,2010-01-04,0324,Terra,MODIS,71,6.2,294.5,10.5,D,2
-6.9641,107.7967,314.1,1.2,1.1,2010-01-04,0324,Terra,MODIS,10,6.2,294,6.2,D,0
-6.9306,107.6969,318.4,1.1,1.1,2010-01-04,0324,Terra,MODIS,53,6.2,295.2,8.4,D,0
-7.0474,107.7367,314.1,1.1,1.1,2010-01-04,0324,Terra,MODIS,40,6.2,293.6,7.6,D,2
-7.006,107.7489,314.5,1.1,1.1,2010-01-04,0324,Terra,MODIS,68,6.2,295.9,7.6,D,2
-7.0503,107.7573,314,1.1,1.1,2010-01-04,0324,Terra,MODIS,30,6.2,295.4,7.1,D,2
-6.0905,106.6977,323.3,1.4,1.2,2010-01-04,0619,Aqua,MODIS,66,6.2,298,18.9,D,0
-8.2351,113.0429,311.5,1,1,2010-01-06,0606,Aqua,MODIS,35,6.2,278.9,8.3,D,0
-6.1353,107.025,305.2,1,1,2010-01-15,1523,Terra,MODIS,64,6.2,287.3,5.6,N,0
-6.9678,107.6139,322,1,1,2010-01-18,0631,Aqua,MODIS,29,6.2,299.8,7.6,D,0
-7.0511,107.7426,320,1,1,2010-01-18,0631,Aqua,MODIS,54,6.2,298.3,9.3,D,2
-7.1081,111.9686,323.3,1,1,2010-01-20,0619,Aqua,MODIS,76,6.2,296.4,13.3,D,2
-8.111,112.929,300.7,1.3,1.1,2010-01-21,1749,Aqua,MODIS,32,6.2,272.7,10.6,N,1
-7.0497,107.7467,307.7,1,1,2010-01-22,0311,Terra,MODIS,47,6.2,280.3,4.7,D,2
-7.1047,111.97,314.6,1,1,2010-01-24,0259,Terra,MODIS,64,6.2,288.5,8.5,D,2
-7.7927,112.0147,318.3,1,1,2010-01-24,0259,Terra,MODIS,31,6.2,296.3,8.1,D,0
-6.1366,107.026,303.1,1.1,1.1,2010-01-24,1517,Terra,MODIS,53,6.2,284.4,4.6,N,0
-7.7325,109.0028,314.8,1.9,1.3,2010-01-26,0247,Terra,MODIS,0,6.2,293.9,16.5,D,0
-6.3524,107.2866,317.4,1.3,1.1,2010-01-27,0329,Terra,MODIS,48,6.2,296.2,8.9,D,0
-6.1329,107.03,315.1,1.2,1.1,2010-01-27,0329,Terra,MODIS,63,6.2,295.2,8,D,0
-6.4212,107.4077,314.9,1.3,1.1,2010-01-27,0329,Terra,MODIS,45,6.2,296.6,7.8,D,0
-7.046,107.7347,313.7,1.4,1.2,2010-01-27,0330,Terra,MODIS,35,6.2,294.3,9.8,D,2
-7.0477,107.7473,316.8,1.4,1.2,2010-01-27,0330,Terra,MODIS,70,6.2,295.4,14,D,2
-6.9636,107.8035,314.6,1.4,1.2,2010-01-27,0330,Terra,MODIS,47,6.2,294.7,10.4,D,0
-7.0093,107.7457,311.8,1.4,1.2,2010-01-27,0330,Terra,MODIS,64,6.2,293,9.7,D,2
-7.1088,111.9676,318.9,1.2,1.1,2010-01-27,0625,Aqua,MODIS,66,6.2,297.2,9.6,D,2
-7.5891,112.7039,311.6,4.6,2,2010-01-28,0529,Aqua,MODIS,30,6.2,288.6,50.9,D,0
-7.5895,112.7007,310.9,4.6,2,2010-01-28,0529,Aqua,MODIS,19,6.2,288.7,46.1,D,0
-7.5845,112.7342,309.4,1.2,1.1,2010-01-28,1452,Terra,MODIS,77,6.2,271,14.2,N,0
-6.9739,107.6096,320.3,1,1,2010-01-29,0317,Terra,MODIS,70,6.2,294,9.5,D,2
-7.1125,111.9721,316.7,1,1,2010-01-29,0612,Aqua,MODIS,64,6.2,297.9,5.2,D,2
-7.0555,107.7502,314.9,1.6,1.2,2010-01-29,0613,Aqua,MODIS,56,6.2,291.9,15.3,D,2
-7.565,112.6223,316,1,1,2010-02-02,0253,Terra,MODIS,47,6.2,297.1,6.6,D,0
-8.1161,112.925,326.1,1,1,2010-02-02,0253,Terra,MODIS,70,6.2,290.2,21.7,D,1
-7.5636,112.6133,315.3,1,1,2010-02-02,0253,Terra,MODIS,54,6.2,295.8,6.4,D,0
-7.4152,112.7304,321.5,1,1,2010-02-02,0253,Terra,MODIS,30,6.2,298.2,7.7,D,0
-7.038,107.5944,313.6,1.1,1.1,2010-02-05,0323,Terra,MODIS,33,6.2,297,6.5,D,0
-7.05,107.7485,317.2,1.1,1.1,2010-02-05,0323,Terra,MODIS,24,6.2,296.5,9.2,D,2
-7.0517,107.7515,315,1,1,2010-02-07,0311,Terra,MODIS,46,6.2,293.9,6.4,D,2
-7.0503,107.7424,314.8,1,1,2010-02-07,0311,Terra,MODIS,46,6.2,293.8,6.5,D,2
-6.8668,107.5002,312.8,1,1,2010-02-07,0311,Terra,MODIS,39,6.2,293.2,4.7,D,0
-6.1327,107.0321,314.9,1.1,1,2010-02-07,0311,Terra,MODIS,57,6.2,295.1,6,D,0
-7.0549,107.7467,315.2,2.1,1.4,2010-02-07,0606,Aqua,MODIS,61,6.2,291.2,21,D,2
-7.6232,112.8136,319.7,1,1,2010-02-07,0606,Aqua,MODIS,72,6.2,297.6,8.4,D,0
-7.0532,107.7395,315.5,2.1,1.4,2010-02-07,0606,Aqua,MODIS,44,6.2,292.2,21.7,D,2
-8.1139,112.929,324.2,1.1,1,2010-02-09,0259,Terra,MODIS,0,6.2,293,22.6,D,1
-7.457,110.9575,313.3,1,1,2010-02-09,0259,Terra,MODIS,58,6.2,296,5.5,D,0
-7.6189,112.8151,315.9,1,1,2010-02-09,0259,Terra,MODIS,62,6.2,297,6.5,D,0
-7.5637,112.6192,316.7,1,1,2010-02-09,0259,Terra,MODIS,66,6.2,298.6,8.2,D,0
-7.1094,111.9677,316.2,1,1,2010-02-09,0259,Terra,MODIS,63,6.2,296.8,7.5,D,2
-7.568,112.613,316.6,1.5,1.2,2010-02-09,0554,Aqua,MODIS,61,6.2,297.9,13.4,D,0
-7.0476,107.7451,313.1,2.4,1.5,2010-02-10,0342,Terra,MODIS,57,6.2,291.2,24.5,D,2
-6.0845,106.7054,315.5,1.9,1.4,2010-02-10,0342,Terra,MODIS,13,6.2,289.2,17.5,D,0
-7.0544,107.7452,322.7,1.1,1,2010-02-10,0637,Aqua,MODIS,50,6.2,300.3,11.1,D,2
-8.112,112.9203,315.5,1.1,1,2010-02-11,0247,Terra,MODIS,0,6.2,290.8,11.6,D,1
-6.9775,107.615,315.6,1.4,1.2,2010-02-12,0330,Terra,MODIS,57,6.2,294.4,9.2,D,2
-7.0474,107.7332,312.3,1.4,1.2,2010-02-12,0330,Terra,MODIS,45,6.2,294.5,9.3,D,0
-7.0492,107.7459,318.3,1.4,1.2,2010-02-12,0330,Terra,MODIS,73,6.2,295.8,17.9,D,2
-7.051,107.7586,314.9,1.4,1.2,2010-02-12,0330,Terra,MODIS,64,6.2,296.2,13.1,D,2
-7.7093,114.0033,318.5,1.6,1.3,2010-02-12,0624,Aqua,MODIS,39,6.2,295.6,14.4,D,0
-7.8146,109.7467,316.9,1,1,2010-02-12,0625,Aqua,MODIS,22,6.2,296.5,8.4,D,3
-7.0998,111.9698,301.9,1.2,1.1,2010-02-13,1755,Aqua,MODIS,46,6.2,287,3.8,N,0
-8.1085,112.9266,300.2,1.1,1,2010-02-13,1755,Aqua,MODIS,20,6.2,268.7,9.6,N,1
-6.8924,107.5012,308.4,1,1,2010-02-14,0317,Terra,MODIS,43,6.2,286.2,4.6,D,0
-6.134,106.2879,317.3,2,1.4,2010-02-14,0613,Aqua,MODIS,68,6.2,291.9,23.8,D,0
-6.9698,110.2672,316,1,1,2010-02-16,0305,Terra,MODIS,51,6.2,294.8,7.1,D,0
-6.7123,111.3352,311.9,2.4,1.5,2010-02-17,0643,Aqua,MODIS,41,6.2,291.4,21.2,D,0
-7.3901,109.3663,316.9,1.4,1.2,2010-02-18,0253,Terra,MODIS,62,6.2,296.2,10.4,D,0
-7.3891,112.757,319.9,1,1,2010-02-18,0253,Terra,MODIS,41,6.2,296.7,7.4,D,0
-7.7177,113.5784,314.3,1.7,1.3,2010-02-18,0548,Aqua,MODIS,0,6.2,296,13.3,D,0
